run_id,retriever,chunking_strategy,k,recall_at_k,ndcg_at_10,mrr_at_10,index_time,query_latency,num_queries_total,num_queries_scored
bm25__whole_document,bm25,whole_document,1,0.5075,0.6518925893260478,0.6186150793650793,1.0454641999967862,8.414886999904411,300,300
bm25__whole_document,bm25,whole_document,5,0.7284444444444444,0.6518925893260478,0.6186150793650793,1.0454641999967862,8.414886999904411,300,300
bm25__whole_document,bm25,whole_document,10,0.7739999999999999,0.6518925893260478,0.6186150793650793,1.0454641999967862,8.414886999904411,300,300
bm25__whole_document,bm25,whole_document,20,0.8322777777777778,0.6518925893260478,0.6186150793650793,1.0454641999967862,8.414886999904411,300,300
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,whole_document,1,0.4823333333333333,0.6450816521455776,0.6047248677248678,234.6665599999833,1.7393944998038933,300,300
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,whole_document,5,0.7379444444444444,0.6450816521455776,0.6047248677248678,234.6665599999833,1.7393944998038933,300,300
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,whole_document,10,0.7833333333333333,0.6450816521455776,0.6047248677248678,234.6665599999833,1.7393944998038933,300,300
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,whole_document,20,0.8373333333333333,0.6450816521455776,0.6047248677248678,234.6665599999833,1.7393944998038933,300,300
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,whole_document,1,0.5787222222222222,0.7200042547439368,0.6844708994708995,764.8046660000109,3.39609540021047,300,300
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,whole_document,5,0.7652777777777778,0.7200042547439368,0.6844708994708995,764.8046660000109,3.39609540021047,300,300
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,whole_document,10,0.8452222222222222,0.7200042547439368,0.6844708994708995,764.8046660000109,3.39609540021047,300,300
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,whole_document,20,0.8753333333333334,0.7200042547439368,0.6844708994708995,764.8046660000109,3.39609540021047,300,300
bm25__fixed_window,bm25,fixed_window,1,0.49416666666666664,0.6387790514062547,0.6035515873015873,1.9579348000115715,28.017082100152038,300,300
bm25__fixed_window,bm25,fixed_window,5,0.7080555555555555,0.6387790514062547,0.6035515873015873,1.9579348000115715,28.017082100152038,300,300
bm25__fixed_window,bm25,fixed_window,10,0.769,0.6387790514062547,0.6035515873015873,1.9579348000115715,28.017082100152038,300,300
bm25__fixed_window,bm25,fixed_window,20,0.8165,0.6387790514062547,0.6035515873015873,1.9579348000115715,28.017082100152038,300,300
